stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
1495,1495,"du VERGER/des CHAMPIGNONS",,  45.413097, -75.843129,,,0,1
1497,1497,"du VERGER/des TRÈFLES",,  45.413326, -75.839973,,,0,1
1500,1500,"VICTOR-BEAUDRY/NORVAL-JONES",,  45.386693, -75.813072,,,0,2
1501,1501,"VICTOR-BEAUDRY/NORVAL-JONES",,  45.386874, -75.812909,,,0,1
1502,1502,"VICTOR-BEAUDRY/GUILFORD-BOOTH",,  45.390640, -75.814969,,,0,2
1503,1503,"VICTOR-BEAUDRY/GUILFORD-BOOTH",,  45.390464, -75.814378,,,0,1
1504,1504,"VICTOR-BEAUDRY/JAMES-BYRNE",,  45.394016, -75.817407,,,0,2
1505,1505,"VICTOR-BEAUDRY/JAMES-BYRNE",,  45.394489, -75.817886,,,0,1
1506,1506,"VICTOR-BEAUDRY/ARTHUR-QUESNEL",,  45.396466, -75.818438,,,0,2
1520,1520,"du BORDEAUX/du MALBEC",,  45.394695, -75.835482,,,0,1
1521,1521,"du BORDEAUX/du MALBEC",,  45.394633, -75.835276,,,0,1
1536,1536,"de la COLLINE/des CARAVELLES",,  45.400542, -75.832732,,,0,2
1550,1550,"FRONT/du MARCHÉ",,  45.414908, -75.857593,,,0,2
1551,1551,"FRONT/du MARCHÉ",,  45.414946, -75.857776,,,0,2
1552,1552,"FRONT/du RENARD",,  45.416089, -75.856333,,,0,2
1553,1553,"FRONT/du RENARD",,  45.416240, -75.856079,,,0,2
1558,1558,"PRINCIPALE/BANCROFT",,  45.394867, -75.846435,,,0,2
1559,1559,"PARK/SYMMES",,  45.395520, -75.844346,,,0,1
1560,1560,"PRINCIPALE/BROAD",,  45.394902, -75.843768,,,0,1
1561,1561,"des ALLUMETTIÈRES/SAMUEL-EDEY",,  45.412393, -75.831712,,,0,1
1562,1562,"des ALLUMETTIÈRES/SAMUEL-EDEY",,  45.412565, -75.830621,,,0,2
1563,1563,"SAMUEL-EDEY/des ALLUMETTIÈRES",,  45.412147, -75.830840,,,0,1
1564,1564,"de LUCERNE",,  45.416194, -75.759883,,,0,2
1565,1565,"de LUCERNE",,  45.416175, -75.760131,,,0,2
2000,2000,"ALEXANDRE-TACHÉ/SAINT-RAYMOND",,  45.418390, -75.758938,,,0,1
2002,2002,"ALEXANDRE-TACHÉ/SAINT-RAYMOND",,  45.417664, -75.759785,,,0,1
2004,2004,"ALEXANDRE-TACHÉ/SAINT-DOMINIQUE",,  45.420099, -75.754056,,,0,1
2006,2006,"ALEXANDRE-TACHÉ/SAINT-DOMINIQUE",,  45.419952, -75.753848,,,0,1
2007,2007,"LUCERNE/ST-DOMINIQUE",,  45.419655, -75.753946,,,0,2
2008,2008,"CEGEP GABRIELLE-ROY/arrivée",,  45.458696, -75.767392,,,0,1
2009,2009,"LUCERNE/ST-DOMINIQUE",,  45.419529, -75.753991,,,0,2
2010,2010,"CEGEP GABRIELLE-ROY #1",,  45.458793, -75.767415,,,0,1
2011,2011,"CEGEP GABRIELLE-ROY",,  45.458776, -75.767012,,,0,1
2012,2012,"CEGEP GABRIELLE-ROY #2",,  45.459006, -75.767505,,,0,1
2013,2013,"CEGEP GABRIELLE-ROY #3",,  45.459136, -75.767640,,,0,1
2014,2014,"CEGEP GABRIELLE-ROY #4",,  45.459278, -75.767795,,,0,1
2015,2015,"CEGEP GABRIELLE-ROY #5",,  45.459413, -75.767917,,,0,1
2020,2020,"LIONEL-ÉMOND/SAINT-RAYMOND",,  45.445375, -75.747868,,,0,2
2022,2022,"ALEXANDRE-TACHÉ/BOUDRIA",,  45.421183, -75.748575,,,0,1
2023,2023,"ALEXANDRE-TACHÉ/SAINTE-THÉRÈSE",,  45.420691, -75.751140,,,0,1
2024,2024,"ALEXANDRE-TACHÉ/BOUDRIA",,  45.421161, -75.748136,,,0,1
2025,2025,"ALEXANDRE-TACHÉ/SAINTE-THÉRÈSE",,  45.420511, -75.751234,,,0,2
2026,2026,"ALEXANDRE-TACHÉ/BÉGIN",,  45.421555, -75.746068,,,0,1
2027,2027,"LIONEL-ÉMOND/GAMELIN",,  45.443345, -75.747665,,,0,2
2028,2028,"ALEXANDRE-TACHÉ/BÉGIN",,  45.421741, -75.745896,,,0,1
2033,2033,"de la CITÉ-DES-JEUNES/NOUVELLE-FRONTIÈRE",,  45.443429, -75.750562,,,0,1
2035,2035,"de la CITÉ-DES-JEUNES/SAINT-RAYMOND",,  45.445073, -75.750786,,,0,2
2044,2044,"ALEXANDRE-TACHÉ/COALLIER",,  45.422093, -75.743330,,,0,1
2046,2046,"ALEXANDRE-TACHÉ/HORMIDAS-DUPUIS",,  45.422440, -75.742377,,,0,1
2051,2051,"TERMINUS FREEMAN",,  45.473557, -75.740963,,,0,1
2053,2053,"TERMINUS FREEMAN",,  45.473433, -75.741167,,,0,1
2058,2058,"ALEXANDRE-TACHÉ/CHÂTEAUBRIAND",,  45.422973, -75.737986,,,0,1
2060,2060,"ALEXANDRE-TACHÉ/CHÂTEAUBRIAND",,  45.422770, -75.738618,,,0,1
