route_id,service_id,trip_id,shape_id,trip_short_name,direction_id
119-341,498,498,498,85,0
119-341,499,499,499,87,0
119-93,494,494,494,80,1
119-618,495,495,495,72,1
119-618,496,496,496,76,1
119-618,497,497,497,78,1
119-618,490,490,490,75,0
119-93,491,491,491,81,0
119-618,492,492,492,70,1
617-628,540,540,540,624,0
617-628,541,541,541,26,0
621-116,269,269,269,185,0
226-444,537,537,537,600,1
226-460,536,536,536,603,0
226-444,535,535,535,601,0
21-458,534,534,534,6,1
21-458,533,533,533,5,0
119-93,371,371,371,83,0
628-576,539,539,539,24,1
226-444,538,538,538,602,1
621-116,270,270,270,186,1
8-119,111,111,111,1,1
226-460,396,396,396,604,1
8-119,112,112,112,2,0
149-435,278,278,278,690,1
149-435,279,279,279,691,0
388-435,525,525,525,693,0
388-435,526,526,526,692,1
617-119,520,520,520,645,0
226-119,449,449,449,60,1
617-226,448,448,448,639,1
617-119,443,443,443,59,0
628-576,442,442,442,39,0
628-226,446,446,446,25,0
617-226,445,445,445,635,1
617-226,444,444,444,34,0
119-58,388,388,388,655,1
617-119,519,519,519,644,1
119-93,518,518,518,82,1
617-226,511,511,511,633,1
617-628,510,510,510,33,1
617-628,513,513,513,35,1
628-576,512,512,512,37,0
617-628,514,514,514,637,1
119-618,517,517,517,79,0
617-119,516,516,516,52,1
617-119,458,458,458,40,1
617-119,459,459,459,42,1
226-119,450,450,450,62,1
226-119,451,451,451,68,1
226-119,452,452,452,668,1
226-119,453,453,453,61,0
226-119,454,454,454,67,0
226-600,455,455,455,69,0
226-119,456,456,456,669,0
617-119,482,482,482,41,0
617-628,508,508,508,28,0
226-620,504,504,504,14,0
226-620,505,505,505,15,1
119-120,502,502,502,97-64,0
119-120,503,503,503,98-63,1
119-341,500,500,500,84,1
119-341,501,501,501,88,1
628-226,467,467,467,20,1
628-226,466,466,466,29,0
617-119,461,461,461,643,0
617-119,460,460,460,646,1
617-119,463,463,463,55,0
617-119,462,462,462,45,0
617-119,91,91,91,54,1
617-119,93,93,93,53,0
617-628,95,95,95,26,0
226-460,397,397,397,606,1
AC,554,554,554,,1
119-618,489,489,489,73,0
119-618,488,488,488,71,0
617-119,487,487,487,647,0
617-119,486,486,486,47,0
617-119,485,485,485,43,0
617-119,484,484,484,641,0
628-576,434,434,434,22,1
617-119,481,481,481,48,1
628-226,433,433,433,622,1
226-119,472,472,472,63,0
226-119,473,473,473,65,0
617-226,470,470,470,38,0
119-58,471,471,471,651,1
226-119,476,476,476,66,1
617-119,477,477,477,50,1
119-58,474,474,474,650,0
226-119,475,475,475,64,1
617-119,478,478,478,44,1
617-119,479,479,479,46,1
617-226,557,557,557,31,1
